挨着	挨著	ai1zhe5	āizhe	sát bên; kề bên
波浪	波浪	bo1lang4	bōlàng	sóng; sóng nước
播	播	bo1	bō	phát (sóng); gieo (hạt)
不便	不便	bu4bian4	bùbiàn	bất tiện; không tiện
不见	不見	bu4jian4	bùjiàn	không thấy; biến mất; không gặp
不料	不料	bu4liao4	bùliào	không ngờ; nào ngờ
不再	不再	bu4zai4	bùzài	không còn... nữa
不至于	不至於	bu4zhi4yu2	bùzhìyú	chưa đến mức; không đến nỗi
补考	補考	bu3kao3	bǔkǎo	thi lại; kỳ thi bổ sung
补课	補課	bu3ke4	bǔkè	học bù; dạy bù
补习	補習	bu3xi2	bǔxí	học thêm; phụ đạo
补助	補助	bu3zhu4	bǔzhù	trợ cấp; hỗ trợ
捕	捕	bu3	bǔ	bắt; bắt giữ
不成	不成	bu4cheng2	bùchéng	không được; không xong
不禁	不禁	bu4jin1	bùjīn	không nhịn được; bất giác
不仅仅	不僅僅	bu4jin3jin3	bùjǐnjǐn	không chỉ; không những
不通	不通	bu4tong1	bùtōng	không thông; tắc nghẽn; không hiểu
不怎么	不怎麼	bu4zen3me5	bùzěnme	không mấy; chẳng lấy gì làm
不怎么样	不怎麼樣	bu4zen3me5yang4	bùzěnmeyàng	chẳng ra gì; không có gì đặc sắc
不值	不值	bu4zhi2	bùzhí	không đáng
布满	布滿	bu4man3	bùmǎn	phủ đầy; rải khắp
部队	部隊	bu4dui4	bùduì	bộ đội; quân đội
采纳	採納	cai3na4	cǎinà	tiếp thu; chấp nhận (ý kiến)
踩	踩	cai3	cǎi	giẫm; đạp lên
参赛	參賽	can1sai4	cānsài	dự thi; tham gia thi đấu
参展	參展	can1zhan3	cānzhǎn	tham gia triển lãm
餐	餐	can1	cān	bữa ăn; (lượng từ) bữa
残疾	殘疾	can2ji2	cánjí	tàn tật; khuyết tật
残疾人	殘疾人	can2ji2ren2	cánjírén	người khuyết tật
残酷	殘酷	can2ku4	cánkù	tàn khốc; tàn nhẫn
惨	慘	can3	cǎn	thảm; thê thảm; thảm hại
仓库	倉庫	cang1ku4	cāngkù	kho; nhà kho
藏	藏	cang2	cáng	giấu; cất giấu; ẩn náu
操纵	操縱	cao1zong4	cāozòng	điều khiển; thao túng
厕所	廁所	ce4suo3	cèsuǒ	nhà vệ sinh
侧	側	ce4	cè	bên; phía bên; nghiêng
测定	測定	ce4ding4	cèdìng	đo đạc xác định; định lượng
策划	策劃	ce4hua4	cèhuà	lên kế hoạch; hoạch định
策略	策略	ce4lüe4	cèlüè	sách lược; chiến thuật
层面	層面	ceng2mian4	céngmiàn	phương diện; cấp độ
差异	差異	cha1yi4	chāyì	sự khác biệt; chênh lệch
查出	查出	cha2chu1	cháchū	tra ra; phát hiện ra
查看	查看	cha2kan4	chákàn	xem xét; kiểm tra
拆迁	拆遷	chai1qian1	chāiqiān	giải tỏa di dời
产量	產量	chan3liang4	chǎnliàng	sản lượng
昌盛	昌盛	chang1sheng4	chāngshèng	hưng thịnh; phồn thịnh
长短	長短	chang2duan3	chángduǎn	độ dài ngắn; điều hay dở; bất trắc
长假	長假	chang2jia4	chángjià	kỳ nghỉ dài
长久	長久	chang2jiu3	chángjiǔ	lâu dài; dài lâu
长跑	長跑	chang2pao3	chángpǎo	chạy đường dài; chạy bền
长远	長遠	chang2yuan3	chángyuǎn	lâu dài; dài hạn
常规	常規	chang2gui1	chángguī	thông lệ; quy tắc thường lệ
常年	常年	chang2nian2	chángnián	quanh năm; nhiều năm liền
厂商	廠商	chang3shang1	chǎngshāng	nhà sản xuất; hãng sản xuất
场地	場地	chang3di4	chǎngdì	địa điểm; sân bãi
场馆	場館	chang3guan3	chǎngguǎn	sân vận động; nhà thi đấu
场景	場景	chang3jing3	chǎngjǐng	cảnh; bối cảnh; tình huống
畅通	暢通	chang4tong1	chàngtōng	thông suốt; lưu thông thuận lợi
超	超	chao1	chāo	vượt; vượt quá; siêu
超出	超出	chao1chu1	chāochū	vượt quá; vượt ra ngoài
炒	炒	chao3	chǎo	xào; đầu cơ (cổ phiếu)
炒股	炒股	chao3gu3	chǎogǔ	chơi cổ phiếu; đầu cơ chứng khoán
炒作	炒作	chao3zuo4	chǎozuò	thổi phồng; làm rùm beng
车号	車號	che1hao4	chēhào	số xe; biển số xe
车牌	車牌	che1pai2	chēpái	biển số xe
车展	車展	che1zhan3	chēzhǎn	triển lãm ô tô
撤离	撤離	che4li2	chèlí	rút khỏi; sơ tán
撤销	撤銷	che4xiao1	chèxiāo	hủy bỏ; bãi bỏ; thu hồi
撑	撐	cheng1	chēng	chống; đỡ; căng ra
成分	成分	cheng2fen4	chéngfèn	thành phần; yếu tố
成品	成品	cheng2pin3	chéngpǐn	thành phẩm
承诺	承諾	cheng2nuo4	chéngnuò	cam kết; hứa hẹn
城区	城區	cheng2qu1	chéngqū	khu vực nội thành
城乡	城鄉	cheng2xiang1	chéngxiāng	thành thị và nông thôn
城镇	城鎮	cheng2zhen4	chéngzhèn	thành thị và thị trấn; đô thị
持有	持有	chi2you3	chíyǒu	nắm giữ; có (hộ chiếu, quan điểm)
冲击	衝擊	chong1ji1	chōngjī	tác động mạnh; xung kích; va đập
重建	重建	chong2jian4	chóngjiàn	xây dựng lại; tái thiết
重组	重組	chong2zu3	chóngzǔ	tái cơ cấu; tổ chức lại
崇拜	崇拜	chong2bai4	chóngbài	sùng bái; tôn thờ
宠物	寵物	chong3wu4	chǒngwù	thú cưng
出场	出場	chu1chang3	chūchǎng	ra sân; lên sân khấu; xuất hiện
出动	出動	chu1dong4	chūdòng	xuất phát; điều động (quân)
出访	出訪	chu1fang3	chūfǎng	đi thăm nước ngoài; công du
出路	出路	chu1lu4	chūlù	lối thoát; hướng phát triển
出面	出面	chu1mian4	chūmiàn	đứng ra; ra mặt
出名	出名	chu1ming2	chūmíng	nổi tiếng; nổi danh
出入	出入	chu1ru4	chūrù	ra vào; chênh lệch
出事	出事	chu1shi4	chūshì	xảy ra chuyện; gặp tai nạn
出台	出臺	chu1tai2	chūtái	ban hành (chính sách); ra mắt
出行	出行	chu1xing2	chūxíng	đi lại; đi xa; ra ngoài
初等	初等	chu1deng3	chūděng	sơ cấp; bậc tiểu học
除	除	chu2	chú	trừ; loại bỏ; chia (toán)
厨师	廚師	chu2shi1	chúshī	đầu bếp
储存	儲存	chu3cun2	chǔcún	lưu trữ; tích trữ
处处	處處	chu4chu4	chùchù	khắp nơi; mọi mặt
处长	處長	chu4zhang3	chùzhǎng	trưởng phòng; trưởng ban
传出	傳出	chuan2chu1	chuánchū	truyền ra; lan ra (tin tức)
传媒	傳媒	chuan2mei2	chuánméi	truyền thông; phương tiện truyền thông
传输	傳輸	chuan2shu1	chuánshū	truyền tải; truyền dẫn
传言	傳言	chuan2yan2	chuányán	tin đồn; lời đồn
船员	船員	chuan2yuan2	chuányuán	thủy thủ; thuyền viên
船长	船長	chuan2zhang3	chuánzhǎng	thuyền trưởng
船只	船隻	chuan2zhi1	chuánzhī	tàu thuyền
串	串	chuan4	chuàn	xâu; xiên; (lượng từ) chùm, xâu
窗口	窗口	chuang1kou3	chuāngkǒu	cửa sổ; quầy giao dịch
创办	創辦	chuang4ban4	chuàngbàn	sáng lập; thành lập
创建	創建	chuang4jian4	chuàngjiàn	sáng lập; tạo lập
创意	創意	chuang4yi4	chuàngyì	ý tưởng sáng tạo; sự sáng tạo
此处	此處	ci3chu4	cǐchù	chỗ này; nơi đây
此次	此次	ci3ci4	cǐcì	lần này
此前	此前	ci3qian2	cǐqián	trước đó; trước đây
此事	此事	ci3shi4	cǐshì	việc này; chuyện này
此致	此致	ci3zhi4	cǐzhì	(cuối thư) nay kính; kính thư
次数	次數	ci4shu4	cìshù	số lần
从不	從不	cong2bu4	cóngbù	không bao giờ; chẳng khi nào
从没	從沒	cong2mei2	cóngméi	chưa từng; chưa bao giờ
醋	醋	cu4	cù	giấm; sự ghen tuông
村庄	村莊	cun1zhuang1	cūnzhuāng	thôn làng; xóm làng
错过	錯過	cuo4guo4	cuòguò	bỏ lỡ; lỡ mất
搭	搭	da1	dā	bắc, dựng; vắt (áo); đi (xe)
搭档	搭檔	da1dang4	dādàng	cộng tác; người cộng sự
搭配	搭配	da1pei4	dāpèi	phối hợp; kết hợp
打动	打動	da3dong4	dǎdòng	làm cảm động; lay động
打断	打斷	da3duan4	dǎduàn	ngắt lời; làm gián đoạn; làm gãy
打发	打發	da3fa5	dǎfa	sai bảo; đuổi đi; giết (thời gian)
打官司	打官司	da3guan1si5	dǎguānsi	kiện tụng; kiện cáo
打牌	打牌	da3pai2	dǎpái	đánh bài; chơi mạt chược
打印机	打印機	da3yin4ji1	dǎyìnjī	máy in
打造	打造	da3zao4	dǎzào	tạo dựng; xây dựng
大道	大道	da4dao4	dàdào	đại lộ; đường lớn
大街	大街	da4jie1	dàjiē	phố lớn; đường phố
大力	大力	da4li4	dàlì	ra sức; mạnh mẽ; tích cực
大米	大米	da4mi3	dàmǐ	gạo
大批	大批	da4pi1	dàpī	một lượng lớn; hàng loạt
大赛	大賽	da4sai4	dàsài	cuộc thi lớn; giải đấu lớn
大师	大師	da4shi1	dàshī	đại sư; bậc thầy
大使	大使	da4shi3	dàshǐ	đại sứ
待会儿	待會兒	dai1hui4r5	dāihuìr	lát nữa; chốc nữa
担忧	擔憂	dan1you1	dānyōu	lo lắng; lo âu
单打	單打	dan1da3	dāndǎ	đánh đơn (thể thao)
诞生	誕生	dan4sheng1	dànshēng	ra đời; chào đời
党	黨	dang3	dǎng	đảng; đảng phái
当成	當成	dang4cheng2	dàngchéng	coi là; xem như
当天	當天	dang1tian1	dāngtiān	ngay hôm đó; trong ngày
当作	當作	dang4zuo4	dàngzuò	coi như; xem là
档	檔	dang4	dàng	hồ sơ; hạng, cấp; số (xe)
档案	檔案	dang4an4	dàngàn	hồ sơ; tài liệu lưu trữ
岛	島	dao3	dǎo	đảo; hòn đảo
到期	到期	dao4qi1	dàoqī	đến hạn; hết hạn
盗版	盜版	dao4ban3	dàobǎn	in lậu; bản lậu; sao chép lậu
道教	道教	Dao4jiao4	Dàojiào	Đạo giáo; Lão giáo
道歉	道歉	dao4qian4	dàoqiàn	xin lỗi; tạ lỗi
低头	低頭	di1tou2	dītóu	cúi đầu; chịu thua
低温	低溫	di1wen1	dīwēn	nhiệt độ thấp
滴	滴	di1	dī	giọt; nhỏ giọt
抵达	抵達	di3da2	dǐdá	đến; tới nơi
抵抗	抵抗	di3kang4	dǐkàng	kháng cự; chống lại
地板	地板	di4ban3	dìbǎn	sàn nhà; ván sàn
地名	地名	di4ming2	dìmíng	địa danh; tên địa phương
地下室	地下室	di4xia4shi4	dìxiàshì	tầng hầm
电车	電車	dian4che1	diànchē	xe điện
电动	電動	dian4dong4	diàndòng	chạy bằng điện; điện động
电力	電力	dian4li4	diànlì	điện lực; điện năng
电器	電器	dian4qi4	diànqì	đồ điện; thiết bị điện
吊	弔	diao4	diào	treo; treo lên; cẩu (hàng)
调研	調研	diao4yan2	diàoyán	khảo sát nghiên cứu; điều tra nghiên cứu
跌	跌	die1	diē	ngã; rơi; giảm (giá)
定价	定價	ding4jia4	dìngjià	định giá; giá quy định
定时	定時	ding4shi2	dìngshí	định giờ; hẹn giờ
定位	定位	ding4wei4	dìngwèi	định vị; xác định vị trí
动画	動畫	dong4hua4	dònghuà	hoạt hình
斗争	鬥爭	dou4zheng1	dòuzhēng	đấu tranh
都市	都市	du1shi4	dūshì	đô thị; thành phố lớn
毒品	毒品	du2pin3	dúpǐn	ma túy
赌	賭	du3	dǔ	đánh bạc; cá cược
赌博	賭博	du3bo2	dǔbó	đánh bạc; cờ bạc
渡	渡	du4	dù	qua sông; vượt qua; đưa đò
端	端	duan1	duān	đầu, đoạn cuối; bưng (bát)
端午节	端午節	Duan1wu3jie2	Duānwǔjié	Tết Đoan Ngọ
短片	短片	duan3pian4	duǎnpiàn	phim ngắn; video ngắn
队伍	隊伍	dui4wu3	duìwǔ	đội ngũ; hàng ngũ
对抗	對抗	dui4kang4	duìkàng	đối kháng; chống lại
对外	對外	dui4wai4	duìwài	đối ngoại; hướng ra bên ngoài
蹲	蹲	dun1	dūn	ngồi xổm; ở lì một chỗ
多半	多半	duo1ban4	duōbàn	phần lớn; đa phần; có lẽ
多方面	多方面	duo1fang1mian4	duōfāngmiàn	nhiều mặt; nhiều phương diện
多媒体	多媒體	duo1mei2ti3	duōméitǐ	đa phương tiện
夺	奪	duo2	duó	cướp; giành lấy
夺取	奪取	duo2qu3	duóqǔ	giành lấy; đoạt lấy; chiếm
恩人	恩人	en1ren2	ēnrén	ân nhân
儿科	兒科	er2ke1	érkē	khoa nhi
发病	發病	fa1bing4	fābìng	phát bệnh; lên cơn bệnh
发电	發電	fa1dian4	fādiàn	phát điện
发放	發放	fa1fang4	fāfàng	phát; cấp phát
发怒	發怒	fa1nu4	fānù	nổi giận; nổi nóng
发起	發起	fa1qi3	fāqǐ	phát động; khởi xướng
发言人	發言人	fa1yan2ren2	fāyánrén	người phát ngôn
发炎	發炎	fa1yan2	fāyán	viêm; bị viêm
法庭	法庭	fa3ting2	fǎtíng	tòa án; phiên tòa
法语	法語	Fa3yu3	Fǎyǔ	tiếng Pháp
番	番	fan1	fān	(lượng từ) lần, phen; ngoại lai
番茄	番茄	fan1qie2	fānqié	cà chua
凡是	凡是	fan2shi4	fánshì	phàm là; hễ là
繁殖	繁殖	fan2zhi2	fánzhí	sinh sản; sinh sôi nảy nở
反抗	反抗	fan3kang4	fǎnkàng	phản kháng; chống lại
反问	反問	fan3wen4	fǎnwèn	hỏi vặn lại; câu hỏi tu từ
反响	反響	fan3xiang3	fǎnxiǎng	phản hồi; tiếng vang; dư luận
犯	犯	fan4	fàn	phạm; vi phạm; tái phát (bệnh)
犯规	犯規	fan4gui1	fànguī	phạm quy; phạm lỗi
犯罪	犯罪	fan4zui4	fànzuì	phạm tội
防范	防範	fang2fan4	fángfàn	đề phòng; phòng ngừa
防守	防守	fang2shou3	fángshǒu	phòng thủ; phòng ngự
房价	房價	fang2jia4	fángjià	giá nhà
仿佛	彷彿	fang3fu2	fǎngfú	dường như; tựa như
飞船	飛船	fei1chuan2	fēichuán	tàu vũ trụ; phi thuyền
飞行员	飛行員	fei1xing2yuan2	fēixíngyuán	phi công
肺	肺	fei4	fèi	phổi
分工	分工	fen1gong1	fēngōng	phân công (công việc)
分裂	分裂	fen1lie4	fēnliè	chia rẽ; phân liệt; tách ra
愤怒	憤怒	fen4nu4	fènnù	phẫn nộ; tức giận
风暴	風暴	feng1bao4	fēngbào	bão táp; cơn bão; khủng hoảng
峰会	峰會	feng1hui4	fēnghuì	hội nghị thượng đỉnh
奉献	奉獻	feng4xian4	fèngxiàn	cống hiến; dâng hiến
佛	佛	fo2	fó	Phật; Bụt
佛教	佛教	Fo2jiao4	Fójiào	Phật giáo; đạo Phật
服	服	fu2	fú	quần áo; uống (thuốc); phục tùng
浮	浮	fu2	fú	nổi; trôi nổi; hời hợt
父女	父女	fu4nü3	fùnǚ	cha và con gái
父子	父子	fu4zi3	fùzǐ	cha và con trai
负	負	fu4	fù	gánh vác; thua; âm (số)
妇女	婦女	fu4nü3	fùnǚ	phụ nữ
复苏	復甦	fu4su1	fùsū	phục hồi; hồi phục; tỉnh lại
副	副	fu4	fù	phó, phụ | (lượng từ) đôi, bộ
富人	富人	fu4ren2	fùrén	người giàu
富有	富有	fu4you3	fùyǒu	giàu có; giàu (về)
改装	改裝	gai3zhuang1	gǎizhuāng	cải tạo; sửa lại; đóng gói lại
干涉	干涉	gan1she4	gānshè	can thiệp; xen vào
肝	肝	gan1	gān	gan
杆	桿	gan3	gǎn	cây sào; cột; cần (gạt)
赶不上	趕不上	gan3bu4shang4	gǎnbùshàng	không theo kịp; không kịp
赶忙	趕忙	gan3mang2	gǎnmáng	vội vàng; vội vã
赶上	趕上	gan3shang4	gǎnshàng	đuổi kịp; theo kịp; gặp đúng lúc
敢于	敢於	gan3yu2	gǎnyú	dám; dũng cảm (làm gì)
感人	感人	gan3ren2	gǎnrén	cảm động; xúc động lòng người
刚好	剛好	gang1hao3	gānghǎo	vừa đúng; vừa vặn; vừa hay
岗位	崗位	gang3wei4	gǎngwèi	vị trí công tác; cương vị
港口	港口	gang3kou3	gǎngkǒu	cảng; hải cảng
高层	高層	gao1ceng2	gāocéng	cấp cao; tầng cao
高档	高檔	gao1dang4	gāodàng	cao cấp; hạng sang
高等	高等	gao1deng3	gāoděng	bậc cao; cao đẳng, đại học
高峰	高峰	gao1feng1	gāofēng	đỉnh cao; cao điểm
高考	高考	gao1kao3	gāokǎo	kỳ thi đại học
高科技	高科技	gao1ke1ji4	gāokējì	công nghệ cao
高手	高手	gao1shou3	gāoshǒu	cao thủ; người giỏi
稿子	稿子	gao3zi5	gǎozi	bản thảo; bài viết
歌唱	歌唱	ge1chang4	gēchàng	ca hát; hát
歌词	歌詞	ge1ci2	gēcí	lời bài hát; ca từ
歌星	歌星	ge1xing1	gēxīng	ca sĩ nổi tiếng; ngôi sao ca nhạc
革新	革新	ge2xin1	géxīn	đổi mới; cách tân
更是	更是	geng4shi4	gèngshì	lại càng; càng thêm
工商	工商	gong1shang1	gōngshāng	công thương; công nghiệp và thương mại
公	公	gong1	gōng	công cộng; chung; con đực
公安	公安	gong1an1	gōngān	công an
公鸡	公雞	gong1ji1	gōngjī	gà trống
公众	公眾	gong1zhong4	gōngzhòng	công chúng
公主	公主	gong1zhu3	gōngzhǔ	công chúa
攻击	攻擊	gong1ji1	gōngjī	tấn công; công kích
供给	供給	gong1ji3	gōngjǐ	cung cấp; cung ứng
宫	宮	gong1	gōng	cung điện; cung
巩固	鞏固	gong3gu4	gǒnggù	củng cố; vững chắc
贡献	貢獻	gong4xian4	gòngxiàn	cống hiến; đóng góp
构建	構建	gou4jian4	gòujiàn	xây dựng; kiến tạo
孤独	孤獨	gu1du2	gūdú	cô độc; cô đơn
孤儿	孤兒	gu1er2	gūér	trẻ mồ côi
姑姑	姑姑	gu1gu5	gūgu	cô (chị em gái của bố)
古典	古典	gu3dian3	gǔdiǎn	cổ điển
股	股	gu3	gǔ	cổ phần; (lượng từ) luồng, làn; đùi
股东	股東	gu3dong1	gǔdōng	cổ đông
股票	股票	gu3piao4	gǔpiào	cổ phiếu
故障	故障	gu4zhang4	gùzhàng	sự cố; hỏng hóc; trục trặc
顾	顧	gu4	gù	trông nom; quan tâm đến; ngoái nhìn
刮	刮	gua1	guā	cạo; nạo; thổi (gió)
拐	拐	guai3	guǎi	rẽ, quẹo; bắt cóc
关爱	關愛	guan1ai4	guānài	quan tâm yêu thương; chăm lo
关联	關聯	guan1lian2	guānlián	liên quan; liên hệ
观光	觀光	guan1guang1	guānguāng	tham quan; du lịch ngắm cảnh
官司	官司	guan1si5	guānsi	vụ kiện; kiện tụng
管道	管道	guan3dao4	guǎndào	đường ống; kênh (thông tin)
光辉	光輝	guang1hui1	guānghuī	ánh hào quang; rực rỡ; huy hoàng
广阔	廣闊	guang3kuo4	guǎngkuò	rộng lớn; bao la
轨道	軌道	gui3dao4	guǐdào	đường ray; quỹ đạo; nề nếp
跪	跪	gui4	guì	quỳ
国产	國產	guo2chan3	guóchǎn	sản xuất trong nước; hàng nội địa
国歌	國歌	guo2ge1	guógē	quốc ca
国会	國會	Guo2hui4	Guóhuì	quốc hội
国旗	國旗	guo2qi2	guóqí	quốc kỳ
国王	國王	guo2wang2	guówáng	quốc vương; vua
果酱	果醬	guo3jiang4	guǒjiàng	mứt trái cây
果树	果樹	guo3shu4	guǒshù	cây ăn quả
过渡	過渡	guo4du4	guòdù	quá độ; chuyển tiếp
过后	過後	guo4hou4	guòhòu	sau đó; về sau
过时	過時	guo4shi2	guòshí	lỗi thời; lạc hậu; quá giờ
海报	海報	hai3bao4	hǎibào	áp phích; tờ quảng cáo
海底	海底	hai3di3	hǎidǐ	đáy biển
海军	海軍	hai3jun1	hǎijūn	hải quân
海浪	海浪	hai3lang4	hǎilàng	sóng biển
海外	海外	hai3wai4	hǎiwài	hải ngoại; nước ngoài
海湾	海灣	hai3wan1	hǎiwān	vịnh biển; vịnh
海洋	海洋	hai3yang2	hǎiyáng	biển cả; hải dương
好容易	好容易	hao3rong2yi4	hǎoróngyì	khó khăn lắm mới; mãi mới
好似	好似	hao3si4	hǎosì	giống như; tựa như
好转	好轉	hao3zhuan3	hǎozhuǎn	chuyển biến tốt; khá lên
好学	好學	hao4xue2	hàoxué	ham học; hiếu học
合约	合約	he2yue1	héyuē	hợp đồng; hiệp ước
和谐	和諧	he2xie2	héxié	hài hòa; hòa hợp
核心	核心	he2xin1	héxīn	hạt nhân; cốt lõi; trung tâm
黑夜	黑夜	hei1ye4	hēiyè	đêm tối; ban đêm
很难说	很難說	hen3nan2shuo1	hěnnánshuō	khó nói lắm; khó mà nói được
狠	狠	hen3	hěn	tàn nhẫn; hung dữ; quyết liệt
横	橫	heng2	héng	ngang; nằm ngang
衡量	衡量	heng2liang2	héngliáng	cân nhắc; đánh giá; đo lường
宏大	宏大	hong2da4	hóngdà	to lớn; hoành tráng
洪水	洪水	hong2shui3	hóngshuǐ	lũ lụt; nước lũ
忽略	忽略	hu1lüe4	hūlu:è	bỏ qua; xem nhẹ; lơ là
壶	壺	hu2	hú	ấm, bình; (lượng từ) ấm, bình
互动	互動	hu4dong4	hùdòng	tương tác; giao lưu
户外	戶外	hu4wai4	hùwài	ngoài trời
护	護	hu4	hù	bảo vệ; che chở
花费	花費	hua1fei4	huāfèi	tiêu tốn; chi phí
花瓶	花瓶	hua1ping2	huāpíng	lọ hoa; bình hoa
花生	花生	hua1sheng1	huāshēng	lạc; đậu phộng
化解	化解	hua4jie3	huàjiě	hóa giải; giải tỏa
幻想	幻想	huan4xiang3	huànxiǎng	ảo tưởng; mơ tưởng
患者	患者	huan4zhe3	huànzhě	bệnh nhân; người bệnh
皇帝	皇帝	huang2di4	huángdì	hoàng đế; vua
回应	回應	hui2ying4	huíyìng	hồi đáp; phản hồi
毁	毀	hui3	huǐ	phá hủy; hủy hoại; bôi nhọ
会见	會見	hui4jian4	huìjiàn	gặp gỡ; hội kiến
会长	會長	hui4zhang3	huìzhǎng	hội trưởng; chủ tịch hội
绘画	繪畫	hui4hua4	huìhuà	hội họa; vẽ tranh
昏	昏	hun1	hūn	ngất; mê man; tối mờ
混	混	hun4	hùn	trộn lẫn; sống qua ngày; hỗn tạp
混合	混合	hun4he2	hùnhé	hỗn hợp; pha trộn
混乱	混亂	hun4luan4	hùnluàn	hỗn loạn; lộn xộn
活跃	活躍	huo2yue4	huóyuè	sôi nổi; năng động; làm sôi động
火箭	火箭	huo3jian4	huǒjiàn	tên lửa
机动车	機動車	ji1dong4che1	jīdòngchē	xe cơ giới
机关	機關	ji1guan1	jīguān	cơ quan (nhà nước); bộ máy, cơ cấu
机械	機械	ji1xie4	jīxiè	máy móc; cơ khí; cứng nhắc
基督教	基督教	Ji1du1jiao4	Jīdūjiào	Cơ Đốc giáo; đạo Thiên Chúa
激情	激情	ji1qing2	jīqíng	nhiệt huyết; đam mê mãnh liệt
吉利	吉利	ji2li4	jílì	may mắn; cát lợi
吉祥	吉祥	ji2xiang2	jíxiáng	cát tường; may mắn tốt lành
极端	極端	ji2duan1	jíduān	cực đoan; cực độ
急救	急救	ji2jiu4	jíjiù	cấp cứu; sơ cứu
疾病	疾病	ji2bing4	jíbìng	bệnh tật; bệnh
集	集	ji2	jí	tập hợp; thu thập; (lượng từ) tập, cuốn
给予	給予	ji3yu3	jǐyǔ	cho; ban cho; dành cho
加盟	加盟	jia1meng2	jiāméng	gia nhập; nhượng quyền
家电	家電	jia1dian4	jiādiàn	đồ điện gia dụng
家园	家園	jia1yuan2	jiāyuán	quê hương; mái ấm
嘉宾	嘉賓	jia1bin1	jiābīn	khách mời; quý khách
假日	假日	jia4ri4	jiàrì	ngày nghỉ; ngày lễ
尖	尖	jian1	jiān	nhọn; sắc; the thé
监测	監測	jian1ce4	jiāncè	giám sát đo lường; quan trắc
监督	監督	jian1du1	jiāndū	giám sát; đôn đốc
捡	撿	jian3	jiǎn	nhặt; nhặt lên
简介	簡介	jian3jie4	jiǎnjiè	giới thiệu sơ lược; bản tóm tắt
