爱	愛	ai4	ài	yêu; yêu thích
电影	電影	dian4ying3	diànyǐng	phim; điện ảnh
电影院	電影院	dian4ying3yuan4	diànyǐngyuàn	rạp chiếu phim
东	東	dong1	dōng	phía đông; hướng đông
东边	東邊	dong1bian5	dōngbian	phía đông; mạn đông
东西	東西	dong1xi5	dōngxi	đồ; đồ đạc; thứ
动	動	dong4	dòng	động; cử động; di chuyển
动作	動作	dong4zuo4	dòngzuò	động tác; hành động
都	都	dou1	dōu	đều; tất cả
读	讀	du2	dú	đọc; học
读书	讀書	du2shu1	dúshū	đọc sách; đi học
对	對	dui4	duì	đúng; với, đối với
对不起	對不起	dui4bu5qi3	duìbuqǐ	xin lỗi
多	多	duo1	duō	nhiều
多少	多少	duo1shao3	duōshǎo	bao nhiêu
饿	餓	e4	è	đói
儿子	兒子	er2zi5	érzi	con trai
二	二	er4	èr	hai (số 2)
饭	飯	fan4	fàn	cơm; bữa cơm
饭店	飯店	fan4dian4	fàndiàn	nhà hàng; khách sạn
房间	房間	fang2jian1	fángjiān	căn phòng; phòng
房子	房子	fang2zi5	fángzi	ngôi nhà; căn nhà
放	放	fang4	fàng	đặt; để; thả
放假	放假	fang4jia4	fàngjià	nghỉ (lễ, hè); được nghỉ
放学	放學	fang4xue2	fàngxué	tan học
飞	飛	fei1	fēi	bay
飞机	飛機	fei1ji1	fēijī	máy bay
非常	非常	fei1chang2	fēicháng	rất; vô cùng
分	分	fen1	fēn	chia; tách; phút
风	風	feng1	fēng	gió
干	乾, 幹	gan1, gan4	gān, gàn	khô | làm; làm việc
干净	乾淨	gan1jing4	gānjìng	sạch; sạch sẽ
干什么	幹什麼	gan4shen2me5	gànshénme	làm gì
高	高	gao1	gāo	cao
高兴	高興	gao1xing4	gāoxìng	vui; vui mừng
告诉	告訴	gao4su4	gàosù	nói cho biết; bảo
哥哥	哥哥	ge1ge5	gēge	anh trai
歌	歌	ge1	gē	bài hát
个	個	ge4	gè	(lượng từ) cái, chiếc, người
给	給	gei3	gěi	cho; đưa cho; giùm
跟	跟	gen1	gēn	cùng; với; theo
工人	工人	gong1ren2	gōngrén	công nhân
工作	工作	gong1zuo4	gōngzuò	làm việc; công việc
关	關	guan1	guān	đóng; tắt; cửa ải
关上	關上	guan1shang4	guānshàng	đóng lại; tắt đi
贵	貴	gui4	guì	đắt; quý
国	國	guo2	guó	nước; quốc gia
国家	國家	guo2jia1	guójiā	quốc gia; đất nước
国外	國外	guo2wai4	guówài	nước ngoài; ở nước ngoài
过	過	guo4	guò	qua; đi qua; trải qua
还	還	hai2	hái	vẫn; còn; hơn nữa
还是	還是	hai2shi5	háishi	vẫn; hay là; tốt hơn hết là
还有	還有	hai2you3	háiyǒu	còn có; ngoài ra
孩子	孩子	hai2zi5	háizi	đứa trẻ; con
汉语	漢語	Han4yu3	Hànyǔ	tiếng Hán; tiếng Trung
汉字	漢字	han4zi4	hànzì	chữ Hán
好	好	hao3	hǎo	tốt; hay; được
好吃	好吃	hao3chi1	hǎochī	ngon
好看	好看	hao3kan4	hǎokàn	đẹp; đẹp mắt; hay (phim, sách)
好听	好聽	hao3ting1	hǎotīng	hay; dễ nghe
好玩儿	好玩兒	hao3wan2r5	hǎowánr	vui; thú vị
号	號	hao4	hào	số; ngày (trong tháng)
喝	喝	he1	hē	uống
和	和	he2	hé	và; với
很	很	hen3	hěn	rất
后	後	hou4	hòu	sau; phía sau
后边	後邊	hou4bian5	hòubian	phía sau; đằng sau
后天	後天	hou4tian1	hòutiān	ngày kia; ngày mốt
花	花	hua1	huā	hoa; bông hoa
话	話	hua4	huà	lời nói; tiếng (nói)
坏	壞	huai4	huài	hỏng; xấu; hư
回	回	hui2	huí	về; quay lại; (lượng từ) lần
回答	回答	hui2da2	huídá	trả lời; câu trả lời
回到	回到	hui2dao4	huídào	trở về; quay về
回家	回家	hui2jia1	huíjiā	về nhà
回来	回來	hui2lai5	huílai	trở về; quay về
回去	回去	hui2qu5	huíqu	về; quay trở về
会	會	hui4	huì	biết (làm); có thể; sẽ
火车	火車	huo3che1	huǒchē	tàu hỏa; xe lửa
机场	機場	ji1chang3	jīchǎng	sân bay
机票	機票	ji1piao4	jīpiào	vé máy bay
鸡蛋	雞蛋	ji1dan4	jīdàn	trứng gà
几	幾	ji3	jǐ	mấy; bao nhiêu; vài
记	記	ji4	jì	ghi; ghi chép; nhớ
记得	記得	ji4de5	jìde	nhớ; nhớ được
记住	記住	ji4zhu5	jìzhu	nhớ kỹ; ghi nhớ
家	家	jia1	jiā	nhà; gia đình
家里	家裡	jia1li3	jiālǐ	trong nhà; ở nhà
家人	家人	jia1ren2	jiārén	người nhà; người trong gia đình
间	間	jian1	jiān	(lượng từ) gian, căn (phòng); giữa, khoảng
见	見	jian4	jiàn	gặp; nhìn thấy
见面	見面	jian4mian4	jiànmiàn	gặp mặt; gặp nhau
教	教	jiao4	jiào	dạy; dạy học
叫	叫	jiao4	jiào	gọi; kêu; tên là
教学楼	教學樓	jiao4xue2lou2	jiàoxuélóu	tòa nhà giảng đường; khu giảng đường
姐姐	姐姐	jie3jie5	jiějie	chị gái
介绍	介紹	jie4shao4	jièshào	giới thiệu
今年	今年	jin1nian2	jīnnián	năm nay
今天	今天	jin1tian1	jīntiān	hôm nay
进	進	jin4	jìn	vào; tiến vào
进来	進來	jin4lai2	jìnlái	vào đây; đi vào
进去	進去	jin4qu4	jìnqù	đi vào; vào trong
九	九	jiu3	jiǔ	chín (số 9)
就	就	jiu4	jiù	thì; liền; ngay; chỉ
觉得	覺得	jue2de5	juéde	cảm thấy; thấy rằng
开	開	kai1	kāi	mở; bật; lái (xe)
开车	開車	kai1che1	kāichē	lái xe
开会	開會	kai1hui4	kāihuì	họp; dự họp
开玩笑	開玩笑	kai1wan2xiao4	kāiwánxiào	đùa; nói đùa
看	看	kan4	kàn	xem; nhìn; đọc
看病	看病	kan4bing4	kànbìng	khám bệnh; đi khám bệnh
看到	看到	kan4dao4	kàndào	nhìn thấy; trông thấy
看见	看見	kan4jian4	kànjiàn	nhìn thấy; trông thấy
考	考	kao3	kǎo	thi; kiểm tra
考试	考試	kao3shi4	kǎoshì	thi; kỳ thi
渴	渴	ke3	kě	khát
课	課	ke4	kè	bài học; tiết học; môn học
课本	課本	ke4ben3	kèběn	sách giáo khoa
课文	課文	ke4wen2	kèwén	bài khóa; bài đọc
口	口	kou3	kǒu	miệng; (lượng từ) người (nhân khẩu)
块	塊	kuai4	kuài	(lượng từ) miếng, cục; đồng (tiền)
快	快	kuai4	kuài	nhanh; sắp
来	來	lai2	lái	đến; lại đây
来到	來到	lai2dao4	láidào	đến; tới
老	老	lao3	lǎo	già; cũ; (tiền tố thân mật trước họ) lão
老人	老人	lao3ren2	lǎorén	người già; người cao tuổi
老师	老師	lao3shi1	lǎoshī	giáo viên; thầy cô
了	了	le5	le	(trợ từ chỉ hoàn thành hoặc thay đổi)
累	累	lei4	lèi	mệt; mệt mỏi
冷	冷	leng3	lěng	lạnh
里	裡	li3	lǐ	trong; bên trong
里边	裡邊	li3bian5	lǐbian	bên trong; phía trong
两	兩	liang3	liǎng	hai (dùng trước lượng từ)
零	零	ling2	líng	số không; lẻ
六	六	liu4	liù	sáu (số 6)
楼	樓	lou2	lóu	tòa nhà; lầu; tầng
楼上	樓上	lou2shang4	lóushàng	trên lầu; tầng trên
楼下	樓下	lou2xia4	lóuxià	dưới nhà; tầng dưới
路	路	lu4	lù	đường; con đường
路口	路口	lu4kou3	lùkǒu	ngã ba, ngã tư; đầu đường
路上	路上	lu4shang5	lùshang	trên đường; dọc đường
妈妈	媽媽	ma1ma5	māma	mẹ; má
马路	馬路	ma3lu4	mǎlù	đường cái; đường phố
马上	馬上	ma3shang4	mǎshàng	ngay; lập tức
吗	嗎	ma5	ma	(trợ từ nghi vấn)
买	買	mai3	mǎi	mua
慢	慢	man4	màn	chậm
忙	忙	mang2	máng	bận; bận rộn
毛	毛	mao2	máo	lông; hào (đơn vị tiền)
没	沒	mei2	méi	không; chưa (phủ định)
没关系	沒關係	mei2guan1xi5	méiguānxi	không sao; không có gì
没什么	沒什麼	mei2shen2me5	méishénme	không có gì; không sao
没事儿	沒事兒	mei2shi4r5	méishìr	không có việc gì; không sao
没有	沒有	mei2you3	méiyǒu	không có; chưa
妹妹	妹妹	mei4mei5	mèimei	em gái
门	門	men2	mén	cửa; cổng
门口	門口	men2kou3	ménkǒu	cửa ra vào; trước cửa
门票	門票	men2piao4	ménpiào	vé vào cửa
们	們	men5	men	(hậu tố số nhiều: các, những)
米饭	米飯	mi3fan4	mǐfàn	cơm (trắng)
面包	麵包	mian4bao1	miànbāo	bánh mì
面条儿	麵條兒	mian4tiao2r5	miàntiáor	mì sợi; mì
名字	名字	ming2zi5	míngzi	tên
明白	明白	ming2bai5	míngbai	hiểu; rõ ràng
明年	明年	ming2nian2	míngnián	năm sau; sang năm
明天	明天	ming2tian1	míngtiān	ngày mai
拿	拿	na2	ná	cầm; lấy
哪	哪	na3	nǎ	nào; cái nào
哪里	哪裏	na3li3	nǎlǐ	ở đâu; nơi nào
哪儿	哪兒	na3r5	nǎr	ở đâu; chỗ nào
哪些	哪些	na3xie1	nǎxiē	những cái nào; những ai
那	那	na4	nà	kia; đó; vậy thì
那边	那邊	na4bian5	nàbian	bên kia; đằng kia
那里	那裏	na4li5	nàli	ở đó; chỗ đó
那儿	那兒	na4r5	nàr	ở đó; đằng kia
那些	那些	na4xie1	nàxiē	những cái đó; những... kia
奶	奶	nai3	nǎi	sữa; vú
奶奶	奶奶	nai3nai5	nǎinai	bà nội
男	男	nan2	nán	nam; đàn ông
男孩儿	男孩兒	nan2hai2r5	nánháir	bé trai; con trai
男朋友	男朋友	nan2peng2you5	nánpéngyou	bạn trai
男人	男人	nan2ren2	nánrén	đàn ông
男生	男生	nan2sheng1	nánshēng	nam sinh; học sinh nam
南	南	nan2	nán	phía nam; hướng nam
南边	南邊	nan2bian5	nánbian	phía nam; mạn nam
难	難	nan2	nán	khó; khó khăn
呢	呢	ne5	ne	(trợ từ nghi vấn: còn... thì sao?)
能	能	neng2	néng	có thể; có khả năng
你	你	ni3	nǐ	bạn; anh, chị (ngôi thứ hai)
你们	你們	ni3men5	nǐmen	các bạn; các anh chị
年	年	nian2	nián	năm
您	您	nin2	nín	ngài; ông, bà (cách nói lịch sự của 你)
牛奶	牛奶	niu2nai3	niúnǎi	sữa bò
女	女	nü3	nǚ	nữ; con gái
女儿	女兒	nü3er2	nǚér	con gái
女孩儿	女孩兒	nü3hai2r5	nǚháir	bé gái; con gái
女朋友	女朋友	nü3peng2you5	nǚpéngyou	bạn gái
女人	女人	nü3ren2	nǚrén	phụ nữ; đàn bà
女生	女生	nü3sheng1	nǚshēng	nữ sinh; học sinh nữ
旁边	旁邊	pang2bian1	pángbiān	bên cạnh; cạnh
跑	跑	pao3	pǎo	chạy
朋友	朋友	peng2you5	péngyou	bạn; bạn bè
票	票	piao4	piào	vé
七	七	qi1	qī	bảy (số 7)
起	起	qi3	qǐ	dậy; đứng lên; nổi lên
起床	起床	qi3chuang2	qǐchuáng	ngủ dậy; thức dậy
起来	起來	qi5lai5	qilai	(bổ ngữ chỉ hướng lên) dậy, lên; bắt đầu (làm gì)
汽车	汽車	qi4che1	qìchē	ô tô; xe hơi
前	前	qian2	qián	trước; phía trước
前边	前邊	qian2bian5	qiánbian	phía trước; đằng trước
前天	前天	qian2tian1	qiántiān	hôm kia
钱	錢	qian2	qián	tiền
钱包	錢包	qian2bao1	qiánbāo	ví tiền
请	請	qing3	qǐng	mời; xin; nhờ
请假	請假	qing3jia4	qǐngjià	xin nghỉ phép
请进	請進	qing3jin4	qǐngjìn	mời vào
请问	請問	qing3wen4	qǐngwèn	xin hỏi
请坐	請坐	qing3zuo4	qǐngzuò	mời ngồi
球	球	qiu2	qiú	quả bóng; bóng
去	去	qu4	qù	đi; đi đến
去年	去年	qu4nian2	qùnián	năm ngoái
热	熱	re4	rè	nóng; hâm nóng
人	人	ren2	rén	người
认识	認識	ren4shi5	rènshi	quen biết; nhận biết
认真	認真	ren4zhen1	rènzhēn	nghiêm túc; chăm chỉ
日	日	ri4	rì	mặt trời; ngày
日期	日期	ri4qi1	rìqī	ngày tháng; thời hạn
肉	肉	rou4	ròu	thịt
三	三	san1	sān	ba (số 3)
山	山	shan1	shān	núi; đồi
商场	商場	shang1chang3	shāngchǎng	trung tâm mua sắm; siêu thị
商店	商店	shang1dian4	shāngdiàn	cửa hàng
上	上	shang4	shàng	trên; lên
上班	上班	shang4ban1	shàngbān	đi làm; vào ca
上边	上邊	shang4bian5	shàngbian	phía trên; bên trên
上车	上車	shang4che1	shàngchē	lên xe
上次	上次	shang4ci4	shàngcì	lần trước
上课	上課	shang4ke4	shàngkè	lên lớp; vào học
上网	上網	shang4wang3	shàngwǎng	lên mạng; vào Internet
上午	上午	shang4wu3	shàngwǔ	buổi sáng
上学	上學	shang4xue2	shàngxué	đi học
少	少	shao3	shǎo	ít; thiếu
谁	誰	shei2	shéi	ai
身上	身上	shen1shang5	shēnshang	trên người; trong người
身体	身體	shen1ti3	shēntǐ	cơ thể; sức khỏe
什么	什麼	shen2me5	shénme	gì; cái gì
生病	生病	sheng1bing4	shēngbìng	ốm; bị bệnh
生气	生氣	sheng1qi4	shēngqì	tức giận; giận
生日	生日	sheng1ri4	shēngrì	sinh nhật
十	十	shi2	shí	mười (số 10)
时候	時候	shi2hou5	shíhou	lúc; khi; thời gian
时间	時間	shi2jian1	shíjiān	thời gian
事	事	shi4	shì	việc; chuyện
试	試	shi4	shì	thử; thử nghiệm
是	是	shi4	shì	là; đúng; phải
是不是	是不是	shi4bu4shi4	shìbùshì	có phải không; đúng hay không
手	手	shou3	shǒu	tay; bàn tay
手机	手機	shou3ji1	shǒujī	điện thoại di động
书	書	shu1	shū	sách; quyển sách
书包	書包	shu1bao1	shūbāo	cặp sách
书店	書店	shu1dian4	shūdiàn	hiệu sách; nhà sách
树	樹	shu4	shù	cây; cây cối
水	水	shui3	shuǐ	nước
水果	水果	shui3guo3	shuǐguǒ	hoa quả; trái cây
睡	睡	shui4	shuì	ngủ
睡觉	睡覺	shui4jiao4	shuìjiào	đi ngủ; ngủ
说	說	shuo1	shuō	nói; bảo
说话	說話	shuo1hua4	shuōhuà	nói chuyện; nói
四	四	si4	sì	bốn (số 4)
送	送	song4	sòng	tặng; đưa; tiễn
岁	歲	sui4	suì	tuổi
他	他	ta1	tā	anh ấy; ông ấy
他们	他們	ta1men5	tāmen	họ; bọn họ
她	她	ta1	tā	cô ấy; chị ấy
她们	她們	ta1men5	tāmen	họ (nữ); các cô ấy
太	太	tai4	tài	quá; rất
天	天	tian1	tiān	ngày; trời
天气	天氣	tian1qi4	tiānqì	thời tiết
听	聽	ting1	tīng	nghe
听到	聽到	ting1dao4	tīngdào	nghe thấy
听见	聽見	ting1jian4	tīngjiàn	nghe thấy
听写	聽寫	ting1xie3	tīngxiě	chính tả (nghe viết)
同学	同學	tong2xue2	tóngxué	bạn học; bạn cùng lớp
图书馆	圖書館	tu2shu1guan3	túshūguǎn	thư viện
外	外	wai4	wài	ngoài; bên ngoài
外边	外邊	wai4bian5	wàibian	bên ngoài; phía ngoài
外国	外國	wai4guo2	wàiguó	nước ngoài; ngoại quốc
外语	外語	wai4yu3	wàiyǔ	ngoại ngữ
玩儿	玩兒	wan2r5	wánr	chơi; vui chơi
晚	晚	wan3	wǎn	tối; muộn
晚饭	晚飯	wan3fan4	wǎnfàn	bữa tối; cơm tối
晚上	晚上	wan3shang5	wǎnshang	buổi tối; ban đêm
网上	網上	wang3shang4	wǎngshàng	trên mạng
网友	網友	wang3you3	wǎngyǒu	bạn trên mạng; cư dân mạng
忘	忘	wang4	wàng	quên
忘记	忘記	wang4ji4	wàngjì	quên; quên mất
问	問	wen4	wèn	hỏi
我	我	wo3	wǒ	tôi; mình
我们	我們	wo3men5	wǒmen	chúng tôi; chúng ta
五	五	wu3	wǔ	năm (số 5)
午饭	午飯	wu3fan4	wǔfàn	bữa trưa; cơm trưa
西	西	xi1	xī	phía tây; hướng tây
西边	西邊	xi1bian1	xībiān	phía tây; mạn tây
洗	洗	xi3	xǐ	rửa; giặt; gội
洗手间	洗手間	xi3shou3jian1	xǐshǒujiān	nhà vệ sinh
喜欢	喜歡	xi3huan5	xǐhuan	thích; yêu thích
下	下	xia4	xià	dưới; xuống
下班	下班	xia4ban1	xiàbān	tan làm; hết giờ làm
下边	下邊	xia4bian5	xiàbian	phía dưới; bên dưới
下车	下車	xia4che1	xiàchē	xuống xe
下次	下次	xia4ci4	xiàcì	lần sau
下课	下課	xia4ke4	xiàkè	tan học; hết tiết
下午	下午	xia4wu3	xiàwǔ	buổi chiều
下雨	下雨	xia4yu3	xiàyǔ	mưa; trời mưa
先	先	xian1	xiān	trước; trước tiên
先生	先生	xian1sheng5	xiānsheng	ông; ngài; chồng
现在	現在	xian4zai4	xiànzài	bây giờ; hiện nay
想	想	xiang3	xiǎng	nghĩ; muốn; nhớ
小	小	xiao3	xiǎo	nhỏ; bé
小孩儿	小孩兒	xiao3hai2r5	xiǎoháir	trẻ con; đứa trẻ
小姐	小姐	xiao3jie5	xiǎojie	cô; tiểu thư
小朋友	小朋友	xiao3peng2you3	xiǎopéngyǒu	em nhỏ; các cháu
小时	小時	xiao3shi2	xiǎoshí	tiếng (đồng hồ); giờ
小学	小學	xiao3xue2	xiǎoxué	tiểu học; trường tiểu học
小学生	小學生	xiao3xue2sheng1	xiǎoxuéshēng	học sinh tiểu học
笑	笑	xiao4	xiào	cười; cười nhạo
写	寫	xie3	xiě	viết
谢谢	謝謝	xie4xie5	xièxie	cảm ơn
新	新	xin1	xīn	mới
新年	新年	xin1nian2	xīnnián	năm mới
星期	星期	xing1qi1	xīngqī	tuần; tuần lễ
星期日	星期日	Xing1qi1ri4	Xīngqīrì	chủ nhật
星期天	星期天	Xing1qi1tian1	Xīngqītiān	chủ nhật
行	行	xing2	xíng	đi; được, ổn
休息	休息	xiu1xi5	xiūxi	nghỉ ngơi
学	學	xue2	xué	học; học tập
学生	學生	xue2sheng5	xuésheng	học sinh; sinh viên
学习	學習	xue2xi2	xuéxí	học; học tập
学校	學校	xue2xiao4	xuéxiào	trường học
学院	學院	xue2yuan4	xuéyuàn	học viện; trường (thuộc đại học)
要	要	yao4	yào	muốn; cần; sẽ
爷爷	爺爺	ye2ye5	yéye	ông nội
也	也	ye3	yě	cũng
页	頁	ye4	yè	trang (sách)
一	一	yi1	yī	một (số 1)
衣服	衣服	yi1fu5	yīfu	quần áo
医生	醫生	yi1sheng1	yīshēng	bác sĩ
医院	醫院	yi1yuan4	yīyuàn	bệnh viện
一半	一半	yi1ban4	yībàn	một nửa
一会儿	一會兒	yi1hui4r5	yīhuìr	một lát; một chốc
一块儿	一塊兒	yi1kuai4r5	yīkuàir	cùng nhau; chung
一下儿	一下兒	yi1xia4r5	yīxiàr	một chút; một lát
一样	一樣	yi1yang4	yīyàng	giống nhau; như nhau
一边	一邊	yi1bian1	yībiān	một bên; vừa... vừa...
一点儿	一點兒	yi1dian3r5	yīdiǎnr	một chút; một ít
一起	一起	yi1qi3	yīqǐ	cùng nhau; cùng
一些	一些	yi1xie1	yīxiē	một vài; một ít
用	用	yong4	yòng	dùng; sử dụng
有	有	you3	yǒu	có
有的	有的	you3de5	yǒude	có cái; có người; một số
有名	有名	you3ming2	yǒumíng	nổi tiếng
有时候	有時候	you3shi2hou5	yǒushíhou	có lúc; đôi khi
有些	有些	you3xie1	yǒuxiē	một số; hơi
有用	有用	you3yong4	yǒuyòng	có ích; hữu dụng
右	右	you4	yòu	phải; bên phải
右边	右邊	you4bian5	yòubian	bên phải; phía bên phải
雨	雨	yu3	yǔ	mưa; cơn mưa
元	元	yuan2	yuán	đồng (đơn vị tiền tệ); nguyên
远	遠	yuan3	yuǎn	xa
月	月	yue4	yuè	tháng; mặt trăng
再	再	zai4	zài	lại; nữa; rồi hãy
再见	再見	zai4jian4	zàijiàn	tạm biệt; hẹn gặp lại
在	在	zai4	zài	ở; đang; tại
在家	在家	zai4jia1	zàijiā	ở nhà; có nhà
早	早	zao3	zǎo	sớm; chào buổi sáng
早饭	早飯	zao3fan4	zǎofàn	bữa sáng; cơm sáng
早上	早上	zao3shang5	zǎoshang	buổi sáng; sáng sớm
怎么	怎麼	zen3me5	zěnme	thế nào; làm sao; sao lại
站	站	zhan4	zhàn	đứng; bến, ga
找	找	zhao3	zhǎo	tìm; tìm kiếm
找到	找到	zhao3dao4	zhǎodào	tìm thấy; tìm được
这	這	zhe4	zhè	này; cái này
这边	這邊	zhe4bian1	zhèbiān	bên này; phía này
这里	這裡	zhe4li3	zhèlǐ	ở đây; chỗ này
这儿	這兒	zhe4r5	zhèr	ở đây; chỗ này
这些	這些	zhe4xie1	zhèxiē	những cái này
着	著	zhe5	zhe	(trợ từ chỉ trạng thái đang tiếp diễn)
真	真	zhen1	zhēn	thật; thật là; quả thật
真的	真的	zhen1de5	zhēnde	thật; thật sự
正	正	zheng4	zhèng	thẳng; ngay ngắn; đúng
正在	正在	zheng4zai4	zhèngzài	đang; đang lúc
知道	知道	zhi1dao4	zhīdào	biết
知识	知識	zhi1shi5	zhīshi	kiến thức; tri thức
中	中	zhong1	zhōng	trong; giữa; đang (làm gì)
中国	中國	Zhong1guo2	Zhōngguó	Trung Quốc
中间	中間	zhong1jian1	zhōngjiān	ở giữa; khoảng giữa
中文	中文	Zhong1wen2	Zhōngwén	tiếng Trung; Trung văn
中午	中午	zhong1wu3	zhōngwǔ	buổi trưa; giữa trưa
中学	中學	zhong1xue2	zhōngxué	trung học; trường trung học
中学生	中學生	zhong1xue2sheng1	zhōngxuéshēng	học sinh trung học
重	重	chong2	chóng	lặp lại; trùng; lần nữa
重要	重要	zhong4yao4	zhòngyào	quan trọng
住	住	zhu4	zhù	ở; sống; cư trú
准备	準備	zhun3bei4	zhǔnbèi	chuẩn bị; định
桌子	桌子	zhuo1zi5	zhuōzi	cái bàn
字	字	zi4	zì	chữ; chữ viết
子	子	zi5	zi	(hậu tố danh từ, vd 杯子, 儿子)
走	走	zou3	zǒu	đi; đi bộ; rời đi
走路	走路	zou3lu4	zǒulù	đi bộ; đi đường
最	最	zui4	zuì	nhất; nhất là
最好	最好	zui4hao3	zuìhǎo	tốt nhất; tốt hơn hết là
最后	最後	zui4hou4	zuìhòu	cuối cùng; sau cùng
昨天	昨天	zuo2tian1	zuótiān	hôm qua
左	左	zuo3	zuǒ	trái; bên trái
左边	左邊	zuo3bian5	zuǒbian	bên trái; phía bên trái
坐	坐	zuo4	zuò	ngồi; đi (xe, máy bay)
坐下	坐下	zuo4xia5	zuòxia	ngồi xuống
做	做	zuo4	zuò	làm; chế tạo
