爱	愛	ai4	ài	love
先生	先生	xian1sheng5	xiānsheng	Mr.; Sir
现在	現在	xian4zai4	xiànzài	now
想	想	xiang3	xiǎng	think; believe; suppose; would like to
小	小	xiao3	xiǎo	small; young
小姐	小姐	xiao3jie5	xiǎojie	young lady; miss; Ms.
些	些	xie1	xiē	some; few; several
写	寫	xie3	xiě	to write; to compose
谢谢	謝謝	xie4xie5	xièxie	thank you
星期	星期	xing1qi1	xīngqī	week
学生	學生	xue2sheng5	xuésheng	student
学习	學習	xue2xi2	xuéxí	learn; to study
学校	學校	xue2xiao4	xuéxiào	school
一	一	yi1	yī	one; once; a
衣服	衣服	yi1fu5	yīfu	clothes
医生	醫生	yi1sheng1	yīshēng	doctor
医院	醫院	yi1yuan4	yīyuàn	hospital
椅子	椅子	yi3zi5	yǐzi	chair
一点儿	一點兒	yi4dian3r5	yìdiǎnr	a bit; a few
有	有	you3	yǒu	have
月	月	yue4	yuè	moon; month
在	在	zai4	zài	at; on; in; indicates an action in progress
再见	再見	zai4jian4	zàijiàn	goodbye; see you later
怎么	怎麼	zen3me5	zěnme	how?
怎么样	怎麼樣	zen3me5yang4	zěnmeyàng	how about?; how is/was it?
这	這	zhe4	zhè	this
中国	中國	Zhong1guo2	Zhōngguó	China
中午	中午	zhong1wu3	zhōngwǔ	noon; midday
住	住	zhu4	zhù	to live; reside; to stop
桌子	桌子	zhuo1zi5	zhuōzi	table; desk
字	字	zi4	zì	letter; character
昨天	昨天	zuo2tian1	zuótiān	yesterday
做	做	zuo4	zuò	do; make
坐	坐	zuo4	zuò	sit﻿吧	吧	ba5	ba	particle indicating polite suggestion; | onomatopoeia | bar (serving drinks, providing internet access, etc.)
白	白	bai2	bái	white; snowy; pure; bright; empty (Kangxi radical 106)
百	百	bai3	bǎi	hundred
帮助	幫助	bang1zhu4	bāngzhù	help; assist; aid
报纸	報紙	bao4zhi3	bàozhǐ	newspaper
比	比	bi3	bǐ	compare; (indicates comparison) (Kangxi radical 81); to gesticulate as one talks
别	別	bie2	bié	don't do something; don't | depart; | other; difference; distinguish
宾馆	賓館	bin1guan3	bīnguǎn	guesthouse; hotel
长	長	chang2, zhang3	cháng, zhǎng	long; length | grow; chief (Kangxi radical 168)
唱歌	唱歌	chang4ge1	chànggē	sing (a song)
出	出	chu1	chū	go out; occur
穿	穿	chuan1	chuān	to wear; put on; penetrate
次	次	ci4	cì	(mw for number of times of occurrence); nth; order
从	從	cong2	cóng	from; obey; observe
错	錯	cuo4	cuò	mistake; error; blunder; miss an opportunity
打篮球	打籃球	da3 lan2qiu2	dǎ lánqiú	play basketball
大家	大家	da4jia1	dàjiā	everyone
到	到	dao4	dào	arrive (at a place); until (a time)
得	得	de5	de	(complement particle)
等	等	deng3	děng	to wait; rank; equal; etc.
弟弟	弟弟	di4di5	dìdi	younger brother
第一	第一	di4yi1	dìyī	first; number 1
懂	懂	dong3	dǒng	understand; know
对	對	dui4	duì	correct; a pair; to face; be opposite; to; towards
房间	房間	fang2jian1	fángjiān	room
非常	非常	fei1chang2	fēicháng	extremely; extraordinary; very
服务员	服務員	fu2wu4yuan2	fúwùyuán	waiter/waitress; server; attendant
高	高	gao1	gāo	high; tall (Kangxi radical 189)
告诉	告訴	gao4su5	gàosu	to tell; inform
哥哥	哥哥	ge1ge5	gēge	older brother
给	給	gei3	gěi	to give; to grant; (passive particle)
公共汽车	公共汽車	gong1gong4 qi4che1	gōnggòng qìchē	(public) bus
公司	公司	gong1si1	gōngsī	company; corporation
贵	貴	gui4	guì	expensive; noble; honorable; Guizhou province (abbreviation)
过	過	guo4	guò	to pass; to cross; go over; (indicates a past experience)
还	還	hai2	hái	still; yet; in addition; even
孩子	孩子	hai2zi5	háizi	child; children; son or daughter
好吃	好吃	hao3chi1	hǎochī	tasty
黑	黑	hei1	hēi	black; dark (Kangxi radical 203); Heilongjiang province (abbreviation)
红	紅	hong2	hóng	red; symbol of success; bonus; popular
火车站	火車站	huo3che1zhan4	huǒchēzhàn	train station
机场	機場	ji1chang3	jīchǎng	airport; airfield
鸡蛋	雞蛋	ji1dan4	jīdàn	(chicken) egg
件	件	jian4	jiàn	(mw for things, clothes, and items)
教室	教室	jiao4shi4	jiàoshì	classroom
姐姐	姐姐	jie3jie5	jiějie	older sister
介绍	介紹	jie4shao4	jièshào	to introduce; recommend; introduction
进	進	jin4	jìn	enter; come in
近	近	jin4	jìn	near; close (to)
就	就	jiu4	jiù	then; at once; just; only; with regard to
觉得	覺得	jue2de5	juéde	feel; think
咖啡	咖啡	ka1fei1	kāfēi	coffee
开始	開始	kai1shi3	kāishǐ	begin; to start; beginning
考试	考試	kao3shi4	kǎoshì	test; exam; to give or take a test
可能	可能	ke3neng2	kěnéng	possible; maybe
可以	可以	ke3yi3	kěyǐ	can; may; possible; okay
课	課	ke4	kè	class; subject; lesson; course
快	快	kuai4	kuài	fast; quick; swift
快乐	快樂	kuai4le4	kuàilè	happy
累	累	lei4	lèi	tired
离	離	li2	lí	leave; depart; go away; apart from
两	兩	liang3	liǎng	two; 2; both; (unit of weight equal to 50 grams)
零	零	ling2	líng	zero; remnant
路	路	lu4	lù	road; path; journey; route
旅游	旅游	lv3you2	lǚyóu	trip; journey; tour
卖	賣	mai4	mài	to sell
慢	慢	man4	màn	slow
忙	忙	mang2	máng	busy
每	每	mei3	měi	each; every
妹妹	妹妹	mei4mei5	mèimei	younger sister
门	門	men2	mén	door; opening; gate (Kangxi radical 169)
面条	面條	mian4tiao2	miàntiáo	noodles
男	男	nan2	nán	male
您	您	nin2	nín	you (polite)
牛奶	牛奶	niu2nai3	niúnǎi	cow's milk
女	女	nv3	nǚ	woman; female (Kangxi radical 38)
旁边	旁邊	pang2bian1	pángbiān	side, beside
跑步	跑步	pao3bu4	pǎobù	to run; to jog
便宜	便宜	pian2yi5	piányi	cheap
票	票	piao4	piào	ticket; bank note; a vote
妻子	妻子	qi1zi5	qīzi	wife
起床	起床	qi3chuang2	qǐ chuáng	get out of bed
千	千	qian1	qiān	one thousand
铅笔	鉛筆	qian1bi3	qiānbǐ	pencil
晴	晴	qing2	qíng	clear; fine (as of weather)
去年	去年	qu4nian2	qùnián	last year
让	讓	rang4	ràng	ask; let; yield
日	日	ri4	rì	sun; day; date; time (Kangxi radical 72)
上班	上班	shang4ban1	shàngbān	go to work; be on duty
身体	身體	shen1ti3	shēntǐ	health; (human) body
生病	生病	sheng1bing4	shēngbìng	get sick; fall ill
生日	生日	sheng1ri4	shēngrì	birthday
时间	時間	shi2jian1	shíjiān	time; period
事情	事情	shi4qing5	shìqing	matter; affair; thing; business
手表	手表	shou3biao3	shǒubiǎo	wristwatch
手机	手機	shou3ji1	shǒujī	mobile (cell) phone
说话	說話	shuo1hua4	shuōhuà	to talk; speak
送	送	song4	sòng	deliver; to carry; to give; send
虽然	雖然	sui1ran2	suīrán	although; even though
但是	但是	dan4shi4	dànshì	but; however
它	它	ta1	tā	it
踢足球	踢足球	ti1zu2qiu2	tīzúqiú	to play football/soccer
题	題	ti2	tí	topic; subject; question on a test or assignment
跳舞	跳舞	tiao4wu3	tiàowǔ	to dance
外	外	wai4	wài	outer; outside; in addition; foreign
完	完	wan2	wán	to finish; be over; complete
玩	玩	wan2	wán	to play; have a good time; visit; enjoy
晚上	晚上	wan3shang5	wǎnshang	evening; night
往	往	wang3	wǎng	to go (in a direction); towards; in the past
为什么	為什麼	wei4shen2me5	wèishénme	why?; for what reason?
问	問	wen4	wèn	ask; inquire
问题	問題	wen4ti2	wèntí	question; problem
西瓜	西瓜	xi1gua1	xīguā	watermelon
希望	希望	xi1wang4	xīwàng	to hope; wish for; to desire
洗	洗	xi3	xǐ	to wash; bathe
小时	小時	xiao3shi2	xiǎoshí	hour
笑	笑	xiao4	xiào	to laugh; to smile
新	新	xin1	xīn	new; Xinjiang autonomous region (abbreviation)
姓	姓	xing4	xìng	surname; family name
休息	休息	xiu1xi5	xiūxi	to rest; take a break
雪	雪	xue3	xuě	snow
颜色	顏色	yan2se4	yánsè	color
眼睛	眼睛	yan3jing5	yǎnjing	eye
羊肉	羊肉	yang2rou4	yángròu	mutton; lamb
药	藥	yao4	yào	medicine; drug; cure; chemical
要	要	yao4	yào	to want; to need; will/shall; important
也	也	ye3	yě	also; too
一起	一起	yi4qi3	yìqǐ	together; in the same place
一下	一下	yi2xia4	yíxià	a little bit/while; one time; once
已经	已經	yi3jing5	yǐjing	already
意思	意思	yi4si5	yìsi	meaning; idea; opinion
因为	因為	yin1wei4	yīnwèi	because
所以	所以	suo3yi3	suǒyǐ	so; therefore; as a result
阴	陰	yin1	yīn	cloudy (weather); yin (the negative principle of Yin and Yang); secret; the moon; negative; shade
游泳	游泳	you2yong3	yóuyǒng	to swim
右边	右邊	you4bian5	yòubian	the right (as opposed to left) side
鱼	魚	yu2	yú	fish (Kangxi radical 195)
远	遠	yuan3	yuǎn	far; distant; remote
运动	運動	yun4dong4	yùndòng	(physical) exercise; movement; sports; campaign
再	再	zai4	zài	again; once more
早上	早上	zao3shang5	zǎoshang	(early) morning
丈夫	丈夫	zhang4fu5	zhàngfu	husband; man
找	找	zhao3	zhǎo	try to find; look for; seek; to give change
着	著	zhe5	zhe	-ing (indicating action in progress)
真	真	zhen1	zhēn	real; true; genuine
正在	正在	zheng4zai4	zhèngzài	in the process of (doing something); currently
知道	知道	zhi1dao5	zhīdao	know; be aware of
准备	准備	zhun3bei4	zhǔnbèi	prepare; get ready
走	走	zou3	zǒu	to walk; to go; to move (Kangxi radical 156)
最	最	zui4	zuì	the most; -est; (indicator for superlative)
左边	左邊	zuo3bian5	zuǒbian	the left side; the left
