爱	愛	ai4	ài	yêu; yêu thích
会	會	hui4	huì	biết (làm gì); sẽ
几	幾	ji3	jǐ	mấy; vài
家	家	jia1	jiā	nhà; gia đình; (lượng từ: cửa hàng, công ty)
叫	叫	jiao4	jiào	gọi; tên là
今天	今天	jin1tian1	jīntiān	hôm nay
九	九	jiu3	jiǔ	chín (số 9)
开	開	kai1	kāi	mở; bật; lái (xe)
看	看	kan4	kàn	xem; nhìn; đọc
看见	看見	kan4jian4	kànjiàn	nhìn thấy; trông thấy
块	塊	kuai4	kuài	đồng (tiền); miếng; cục
来	來	lai2	lái	đến; tới
老师	老師	lao3shi1	lǎoshī	giáo viên; thầy cô
了	了	le5	le	(trợ từ: đánh dấu hành động đã hoàn thành)
冷	冷	leng3	lěng	lạnh
里	裡	li3	lǐ	trong; bên trong
六	六	liu4	liù	sáu (số 6)
妈妈	媽媽	ma1ma5	māma	mẹ; má
吗	嗎	ma5	ma	(trợ từ nghi vấn: ...không?)
买	買	mai3	mǎi	mua
猫	貓	mao1	māo	con mèo
没关系	沒關系	mei2 guan1xi5	méi guānxi	không sao; không có gì
没有	沒有	mei2you3	méiyǒu	không có; chưa
米饭	米飯	mi3fan4	mǐfàn	cơm
明天	明天	ming2tian1	míngtiān	ngày mai
名字	名字	ming2zi5	míngzi	tên
哪	哪	na3	nǎa	nào; cái nào
哪儿	哪兒	na3r5	nǎr	ở đâu
那	那	na4	nà	kia; đó; vậy thì
呢	呢	ne5	ne	(trợ từ nghi vấn: thế còn... thì sao?)
能	能	neng2	néng	có thể; biết
你	你	ni3	nǐ	bạn; cậu
年	年	nian2	nián	năm (12 tháng)
女儿	女兒	nv3'er2	nǚ'ér	con gái
朋友	朋友	peng2you5	péngyou	bạn bè
漂亮	漂亮	piao4liang5	piàoliang	đẹp; xinh
苹果	蘋果	ping2guo3	píngguǒ	quả táo
七	七	qi1	qī	bảy (số 7)
钱	錢	qian2	qián	tiền
前面	前面	qian2mian4	qiánmiàn	phía trước
请	請	qing3	qǐng	mời; xin; làm ơn
去	去	qu4	qù	đi; đến
热	熱	re4	rè	nóng
人	人	ren2	rén	người
认识	認識	ren4shi5	rènshi	quen; biết (ai đó); nhận ra
三	三	san1	sān	ba (số 3)
商店	商店	shang1dian4	shāngdiàn	cửa hàng
上	上	shang4	shàng	trên; lên
上午	上午	shang4wu3	shàngwǔ	buổi sáng
少	少	shao3	shǎo	ít
谁	誰	shei2	shéi	ai
什么	什麼	shen2me5	shénme	gì; cái gì
十	十	shi2	shí	mười (số 10)
时候	時候	shi2hou5	shíhou	lúc; khi; thời điểm
是	是	shi4	shì	là; đúng; phải
书	書	shu1	shū	sách
水	水	shui3	shuǐ	nước
水果	水果	shui3guo3	shuǐguǒ	hoa quả; trái cây
睡觉	睡覺	shui4 jiao4	shuì jiào	ngủ; đi ngủ
说	說	shuo1	shuō	nói
四	四	si4	sì	bốn (số 4)
岁	歲	sui4	suì	tuổi
他	他	ta1	tā	anh ấy; ông ấy
她	她	ta1	tā	cô ấy; chị ấy
太	太	tai4	tài	quá; quá là
天气	天氣	tian1qi4	tiānqì	thời tiết
听	聽	ting1	tīng	nghe
同学	同學	tong2xue2	tóngxué	bạn học; bạn cùng lớp
喂	喂	wei4	wèi	a lô (khi nghe điện thoại)
我	我	wo3	wǒ	tôi; mình
我们	我們	wo3men5	wǒmen	chúng tôi; chúng ta
五	五	wu3	wǔ	năm (số 5)
喜欢	喜歡	xi3huan5	xǐhuan	thích
下	下	xia4	xià	dưới; xuống
下午	下午	xia4wu3	xiàwǔ	buổi chiều
下雨	下雨	xia4yu3	xiàyǔ	mưa; trời mưa
先生	先生	xian1sheng5	xiānsheng	ông; ngài; anh (cách gọi lịch sự)
现在	現在	xian4zai4	xiànzài	bây giờ; hiện tại
想	想	xiang3	xiǎng	muốn; nghĩ; nhớ
小	小	xiao3	xiǎo	nhỏ; bé
小姐	小姐	xiao3jie5	xiǎojie	cô; quý cô (cách gọi lịch sự)
些	些	xie1	xiē	một vài; một ít
写	寫	xie3	xiě	viết
谢谢	謝謝	xie4xie5	xièxie	cảm ơn
星期	星期	xing1qi1	xīngqī	tuần
学生	學生	xue2sheng5	xuésheng	học sinh; sinh viên
学习	學習	xue2xi2	xuéxí	học; học tập
学校	學校	xue2xiao4	xuéxiào	trường học
一	一	yi1	yī	một (số 1)
衣服	衣服	yi1fu5	yīfu	quần áo
医生	醫生	yi1sheng1	yīshēng	bác sĩ
医院	醫院	yi1yuan4	yīyuàn	bệnh viện
椅子	椅子	yi3zi5	yǐzi	cái ghế
一点儿	一點兒	yi4dian3r5	yìdiǎnr	một chút; một ít
有	有	you3	yǒu	có
月	月	yue4	yuè	tháng; mặt trăng
在	在	zai4	zài	ở; tại; đang (làm gì)
再见	再見	zai4jian4	zàijiàn	tạm biệt
怎么	怎麼	zen3me5	zěnme	thế nào; làm sao
怎么样	怎麼樣	zen3me5yang4	zěnmeyàng	thế nào; ra sao
这	這	zhe4	zhè	này; đây
中国	中國	Zhong1guo2	Zhōngguó	Trung Quốc
中午	中午	zhong1wu3	zhōngwǔ	buổi trưa
住	住	zhu4	zhù	ở; sống; cư trú
桌子	桌子	zhuo1zi5	zhuōzi	cái bàn
字	字	zi4	zì	chữ
昨天	昨天	zuo2tian1	zuótiān	hôm qua
做	做	zuo4	zuò	làm
坐	坐	zuo4	zuò	ngồi
吧	吧	ba5	ba	(trợ từ: đề nghị hoặc rủ rê - ...nhé, ...đi); quán bar
白	白	bai2	bái	trắng
百	百	bai3	bǎi	trăm (100)
帮助	幫助	bang1zhu4	bāngzhù	giúp; giúp đỡ
报纸	報紙	bao4zhi3	bàozhǐ	báo
比	比	bi3	bǐ	so với; so sánh
别	別	bie2	bié	đừng; chớ; khác
宾馆	賓館	bin1guan3	bīnguǎn	khách sạn; nhà nghỉ
长	長	chang2, zhang3	cháng, zhǎng	dài; lớn lên; trưởng (đứng đầu)
唱歌	唱歌	chang4ge1	chànggē	hát
出	出	chu1	chū	ra; đi ra
穿	穿	chuan1	chuān	mặc; đi (giày)
次	次	ci4	cì	lần; (lượng từ chỉ số lần)
从	從	cong2	cóng	từ (nơi nào, lúc nào)
错	錯	cuo4	cuò	sai; nhầm; lỗi
打篮球	打籃球	da3 lan2qiu2	dǎ lánqiú	chơi bóng rổ
大家	大家	da4jia1	dàjiā	mọi người
到	到	dao4	dào	đến; tới; cho đến
得	得	de5	de	(trợ từ bổ ngữ mức độ: làm ... như thế nào)
等	等	deng3	děng	đợi; chờ
弟弟	弟弟	di4di5	dìdi	em trai
第一	第一	di4yi1	dìyī	thứ nhất; đầu tiên
懂	懂	dong3	dǒng	hiểu
对	對	dui4	duì	đúng; đối với; một đôi
房间	房間	fang2jian1	fángjiān	phòng
非常	非常	fei1chang2	fēicháng	rất; vô cùng
服务员	服務員	fu2wu4yuan2	fúwùyuán	nhân viên phục vụ
高	高	gao1	gāo	cao
告诉	告訴	gao4su5	gàosu	nói cho; báo cho biết
哥哥	哥哥	ge1ge5	gēge	anh trai
给	給	gei3	gěi	cho; đưa cho
公共汽车	公共汽車	gong1gong4 qi4che1	gōnggòng qìchē	xe buýt
公司	公司	gong1si1	gōngsī	công ty
贵	貴	gui4	guì	đắt; quý; sang trọng
过	過	guo4	guò	qua; đi qua; (trợ từ: đã từng)
还	還	hai2	hái	vẫn; còn; thêm nữa
孩子	孩子	hai2zi5	háizi	đứa trẻ; con cái
好吃	好吃	hao3chi1	hǎochī	ngon
黑	黑	hei1	hēi	đen; tối
红	紅	hong2	hóng	đỏ
火车站	火車站	huo3che1zhan4	huǒchēzhàn	ga tàu hỏa
机场	機場	ji1chang3	jīchǎng	sân bay
鸡蛋	雞蛋	ji1dan4	jīdàn	trứng gà
件	件	jian4	jiàn	(lượng từ: chiếc, cái - dùng cho quần áo, sự việc)
教室	教室	jiao4shi4	jiàoshì	phòng học; lớp học
姐姐	姐姐	jie3jie5	jiějie	chị gái
介绍	介紹	jie4shao4	jièshào	giới thiệu
进	進	jin4	jìn	vào; đi vào
近	近	jin4	jìn	gần
就	就	jiu4	jiù	liền; ngay; chỉ
觉得	覺得	jue2de5	juéde	cảm thấy; thấy rằng
咖啡	咖啡	ka1fei1	kāfēi	cà phê
开始	開始	kai1shi3	kāishǐ	bắt đầu
考试	考試	kao3shi4	kǎoshì	thi; kỳ thi
可能	可能	ke3neng2	kěnéng	có thể; có lẽ
可以	可以	ke3yi3	kěyǐ	có thể; được
课	課	ke4	kè	tiết học; môn học; bài
快	快	kuai4	kuài	nhanh
快乐	快樂	kuai4le4	kuàilè	vui vẻ; hạnh phúc
累	累	lei4	lèi	mệt
离	離	li2	lí	cách; rời khỏi
两	兩	liang3	liǎng	hai (dùng trước lượng từ)
零	零	ling2	líng	số không; lẻ
路	路	lu4	lù	đường; tuyến đường
旅游	旅游	lv3you2	lǚyóu	du lịch
卖	賣	mai4	mài	bán
慢	慢	man4	màn	chậm
忙	忙	mang2	máng	bận
每	每	mei3	měi	mỗi; mọi
妹妹	妹妹	mei4mei5	mèimei	em gái
门	門	men2	mén	cửa; cổng
面条	面條	mian4tiao2	miàntiáo	mì sợi
男	男	nan2	nán	nam; đàn ông
您	您	nin2	nín	ngài; ông, bà (cách xưng hô lịch sự)
牛奶	牛奶	niu2nai3	niúnǎi	sữa bò
女	女	nv3	nǚ	nữ; phụ nữ
旁边	旁邊	pang2bian1	pángbiān	bên cạnh
跑步	跑步	pao3bu4	pǎobù	chạy bộ
便宜	便宜	pian2yi5	piányi	rẻ
票	票	piao4	piào	vé
妻子	妻子	qi1zi5	qīzi	vợ
起床	起床	qi3chuang2	qǐ chuáng	ngủ dậy; ra khỏi giường
千	千	qian1	qiān	nghìn (1000)
铅笔	鉛筆	qian1bi3	qiānbǐ	bút chì
晴	晴	qing2	qíng	nắng; trời quang
去年	去年	qu4nian2	qùnián	năm ngoái
让	讓	rang4	ràng	để cho; bảo ai làm gì; nhường
日	日	ri4	rì	ngày; mặt trời
上班	上班	shang4ban1	shàngbān	đi làm
身体	身體	shen1ti3	shēntǐ	cơ thể; sức khỏe
生病	生病	sheng1bing4	shēngbìng	bị ốm; ngã bệnh
生日	生日	sheng1ri4	shēngrì	sinh nhật
时间	時間	shi2jian1	shíjiān	thời gian
事情	事情	shi4qing5	shìqing	việc; sự việc; chuyện
手表	手表	shou3biao3	shǒubiǎo	đồng hồ đeo tay
手机	手機	shou3ji1	shǒujī	điện thoại di động
说话	說話	shuo1hua4	shuōhuà	nói chuyện
送	送	song4	sòng	tặng; đưa; tiễn; gửi
虽然	雖然	sui1ran2	suīrán	tuy; mặc dù
但是	但是	dan4shi4	dànshì	nhưng; nhưng mà
它	它	ta1	tā	nó (đồ vật, con vật)
踢足球	踢足球	ti1zu2qiu2	tīzúqiú	đá bóng
题	題	ti2	tí	đề bài; câu hỏi; đề tài
跳舞	跳舞	tiao4wu3	tiàowǔ	nhảy; khiêu vũ
外	外	wai4	wài	ngoài; bên ngoài
完	完	wan2	wán	xong; hết
玩	玩	wan2	wán	chơi
晚上	晚上	wan3shang5	wǎnshang	buổi tối
往	往	wang3	wǎng	về phía; hướng
为什么	為什麼	wei4shen2me5	wèishénme	tại sao; vì sao
问	問	wen4	wèn	hỏi
问题	問題	wen4ti2	wèntí	câu hỏi; vấn đề
西瓜	西瓜	xi1gua1	xīguā	dưa hấu
希望	希望	xi1wang4	xīwàng	hy vọng; mong
洗	洗	xi3	xǐ	rửa; giặt; tắm
小时	小時	xiao3shi2	xiǎoshí	tiếng (đơn vị giờ)
笑	笑	xiao4	xiào	cười
新	新	xin1	xīn	mới
姓	姓	xing4	xìng	họ; mang họ
休息	休息	xiu1xi5	xiūxi	nghỉ; nghỉ ngơi
雪	雪	xue3	xuě	tuyết
颜色	顏色	yan2se4	yánsè	màu sắc
眼睛	眼睛	yan3jing5	yǎnjing	mắt
羊肉	羊肉	yang2rou4	yángròu	thịt cừu; thịt dê
药	藥	yao4	yào	thuốc
要	要	yao4	yào	muốn; cần; sẽ
也	也	ye3	yě	cũng
一起	一起	yi4qi3	yìqǐ	cùng nhau
一下	一下	yi2xia4	yíxià	một chút; thử một cái
已经	已經	yi3jing5	yǐjing	đã; đã rồi
意思	意思	yi4si5	yìsi	ý nghĩa; ý
因为	因為	yin1wei4	yīnwèi	bởi vì
所以	所以	suo3yi3	suǒyǐ	cho nên; vì vậy
阴	陰	yin1	yīn	âm u; nhiều mây
游泳	游泳	you2yong3	yóuyǒng	bơi
右边	右邊	you4bian5	yòubian	bên phải
鱼	魚	yu2	yú	con cá
远	遠	yuan3	yuǎn	xa
运动	運動	yun4dong4	yùndòng	vận động; thể thao
再	再	zai4	zài	lại; lần nữa
早上	早上	zao3shang5	zǎoshang	buổi sáng sớm
丈夫	丈夫	zhang4fu5	zhàngfu	chồng
找	找	zhao3	zhǎo	tìm; tìm kiếm; trả lại tiền thừa
着	著	zhe5	zhe	(trợ từ: trạng thái đang tiếp diễn - đang...)
真	真	zhen1	zhēn	thật; thật sự
正在	正在	zheng4zai4	zhèngzài	đang (làm gì)
知道	知道	zhi1dao5	zhīdao	biết
准备	准備	zhun3bei4	zhǔnbèi	chuẩn bị
走	走	zou3	zǒu	đi; đi bộ; rời đi
最	最	zui4	zuì	nhất (mức cao nhất)
左边	左邊	zuo3bian5	zuǒbian	bên trái
